Date,Gold_USD
2020-01-31,1560.67
2020-02-29,1597.1
2020-03-31,1591.93
2020-04-30,1683.17
2020-05-31,1715.91
2020-06-30,1732.22
2020-07-31,1846.51
2020-08-31,1968.63
2020-09-30,1921.92
2020-10-31,1900.27
2020-11-30,1866.3
2020-12-31,1858.42
2021-01-31,1866.98
2021-02-28,1808.17
2021-03-31,1718.23
2021-04-30,1760.04
2021-05-31,1850.26
2021-06-30,1834.57
2021-07-31,1807.84
2021-08-31,1785.28
2021-09-30,1775.14
2021-10-31,1776.85
2021-11-30,1821.76
2021-12-31,1790.43
2022-01-31,1816.02
2022-02-28,1856.3
2022-03-31,1947.83
2022-04-30,1936.86
2022-05-31,1848.5
2022-06-30,1836.57
2022-07-31,1732.74
2022-08-31,1764.56
2022-09-30,1680.78
2022-10-31,1664.45
2022-11-30,1725.07
2022-12-31,1797.55
2023-01-31,1897.71
2023-02-28,1854.54
2023-03-31,1912.73
2023-04-30,1999.77
2023-05-31,1992.13
2023-06-30,1942.9
2023-07-31,1951.02
2023-08-31,1918.7
2023-09-30,1915.95
2023-10-31,1916.25
2023-11-30,1984.11
2023-12-31,2026.18
2024-01-31,2034.04
2024-02-29,2023.24
2024-03-31,2158.01
2024-04-30,2331.45
2024-05-31,2351.13
2024-06-30,2326.44
2024-07-31,2398.2
2024-08-31,2470.15
2024-09-30,2570.55
2024-10-31,2690.08
2024-11-30,2651.13
2024-12-31,2648.01
2025-01-31,2709.69
2025-02-28,2894.73
2025-03-31,2983.25
2025-04-30,3217.64
2025-05-31,3309.49
2025-06-30,3352.66
2025-07-31,3340.15
