Date,Gold_USD,BTC_USD
2020-01-31,1560.67,9342.23
2020-02-29,1597.1,8545.45
2020-03-31,1591.93,6423.61
2020-04-30,1683.17,8637.56
2020-05-31,1715.91,9450.47
2020-06-30,1732.22,9136.47
2020-07-31,1846.51,11352.72
2020-08-31,1968.63,11657.81
2020-09-30,1921.92,10779.42
2020-10-31,1900.27,13803.41
2020-11-30,1866.3,19686.87
2020-12-31,1858.42,28972.4
2021-01-31,1866.98,33143.22
2021-02-28,1808.17,45261.03
2021-03-31,1718.23,58793.8
2021-04-30,1760.04,57757.97
2021-05-31,1850.26,37290.83
2021-06-30,1834.57,35056.39
2021-07-31,1807.84,41474.72
2021-08-31,1785.28,47159.26
2021-09-30,1775.14,43829.34
2021-10-31,1776.85,61349.75
2021-11-30,1821.76,56975.35
2021-12-31,1790.43,46197.31
2022-01-31,1816.02,38494.66
2022-02-28,1856.3,43189.46
2022-03-31,1947.83,45522.65
2022-04-30,1936.86,37650.13
2022-05-31,1848.5,31782.16
2022-06-30,1836.57,19908.49
2022-07-31,1732.74,23308.14
2022-08-31,1764.56,20050.28
2022-09-30,1680.78,19425.63
2022-10-31,1664.45,20492.56
2022-11-30,1725.07,17162.35
2022-12-31,1797.55,16531.31
2023-01-31,1897.71,23129.7
2023-02-28,1854.54,23137.23
2023-03-31,1912.73,28474.62
2023-04-30,1999.77,29236.81
2023-05-31,1992.13,27220.17
2023-06-30,1942.9,30471.06
2023-07-31,1951.02,29231.47
2023-08-31,1918.7,25937.29
2023-09-30,1915.95,26964.27
2023-10-31,1916.25,34657.73
2023-11-30,1984.11,37729.58
2023-12-31,2026.18,42280.14
2024-01-31,2034.04,42555.08
2024-02-29,2023.24,61179.58
2024-03-31,2158.01,71312.91
2024-04-30,2331.45,60633.97
2024-05-31,2351.13,67482.25
2024-06-30,2326.44,62685.88
2024-07-31,2398.2,64617.83
2024-08-31,2470.15,58989.17
2024-09-30,2570.55,63314.81
2024-10-31,2690.08,70207.54
2024-11-30,2651.13,96473.51
2024-12-31,2648.01,93391.98
2025-01-31,2709.69,102412.41
2025-02-28,2894.73,84322.57
2025-03-31,2983.25,82539.52
2025-04-30,3217.64,94186.14
2025-05-31,3309.49,104696.46
2025-06-30,3352.66,107147.75
2025-07-31,3340.15,116009.4
